City_Name,State,Country_Name,City_Website,language,ai,ml,dl,nn,llm
Durrës,Durrës,Albania,https://durres.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Elbasan,Elbasan,Albania,https://elbasani.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Shkodër,Shkodër,Albania,https://bashkiashkoder.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Fier,Fier,Albania,http://bashkiafier.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Kamëz,Tiranë,Albania,https://kamza.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Vlorë,Vlorë,Albania,http://www.vlora.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Lushnje,Fier,Albania,https://bashkialushnje.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Berat,Berat,Albania,http://bashkiaberat.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Lezhë,Lezhë,Albania,https://lezha.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Dibër,Dibër,Albania,http://dibra.gov.al/,Albanian,inteligjencë artificiale,mësim makinerie,mësim i thellë,rrjet nervor,model i madh gjuhësor
Andorra la Vella,,Andorra,https://www.andorralavella.ad/,Catalan,intel·ligència artificial,aprenentatge automàtic,aprenentatge profund,xarxa neuronal,model de llenguatge extens
Wien [Vienna],Wien,Austria,https://www.wien.gv.at/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Graz,Steiermark,Austria,https://www.graz.at/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Linz,Oberösterreich,Austria,https://www.linz.at/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
